SELL_ID,model,feature,coefficient
1070,ridge,DAYOFWEEK_6,-0.360864693430706
2051,ols,IS_SCHOOLBREAK,0.03645316941154507
2051,ols,log_p,-0.11628748210146357
2051,ols,IS_MONTH_END,-0.02408597071122319
2051,ols,HOLIDAY_Labor Day,-0.2987250690035913
2051,ols,HOLIDAY_Luner New Year,-0.37674737543231707
2051,ols,HOLIDAY_Mid-Autumn Day,-0.3770189396626611
2051,ols,HOLIDAY_National Day,-0.3298746354377824
2051,ols,HOLIDAY_New Year,-0.2893836832173653
2051,ols,HOLIDAY_OtherHoliday,-5.551115123125783e-17
2051,ols,HOLIDAY_Qing Ming Festival,-0.19284329655424748
2051,ols,MONTH_2,-0.10468711627996094
2051,ols,MONTH_3,-0.10262385109819844
2051,ols,MONTH_4,-0.14368185145955018
2051,ols,MONTH_5,-0.12445303008451748
2051,ols,MONTH_6,-0.1388170775817512
2051,ols,MONTH_7,-0.11248766068348368
2051,ols,MONTH_8,-0.12117068225133253
2051,ols,MONTH_9,-0.10756344887844113
2051,ols,MONTH_10,-0.11055930022976905
2051,ols,MONTH_11,-0.10571338678841691
2051,ols,MONTH_12,-0.04122754608976075
2051,ols,DAYOFWEEK_1,-0.01596016666172402
2051,ols,DAYOFWEEK_2,-0.011086621466242636
2051,ols,DAYOFWEEK_3,-0.026046015192174574
2051,ols,DAYOFWEEK_4,0.0038287046238225015
2051,ols,DAYOFWEEK_5,-0.33140869820845553
2051,ols,DAYOFWEEK_6,-0.32693013473102545
2051,ridge,IS_SCHOOLBREAK,0.035080306803222654
2051,ridge,log_p,-0.11363459946368362
2051,ridge,IS_MONTH_END,-0.0258022917663219
2051,ridge,HOLIDAY_Labor Day,-0.26550930860565664
2051,ridge,HOLIDAY_Luner New Year,-0.3517676119215252
2051,ridge,HOLIDAY_Mid-Autumn Day,-0.3271555504180492
2051,ridge,HOLIDAY_National Day,-0.3121527479808388
2051,ridge,HOLIDAY_New Year,-0.2451090251738534
2051,ridge,HOLIDAY_OtherHoliday,0.0
2051,ridge,HOLIDAY_Qing Ming Festival,-0.17206333788837214
2051,ridge,MONTH_2,-0.0906500812592192
2051,ridge,MONTH_3,-0.08517495765942829
2051,ridge,MONTH_4,-0.12910353245046796
2051,ridge,MONTH_5,-0.10658552643536946
2051,ridge,MONTH_6,-0.11925675446832468
2051,ridge,MONTH_7,-0.09230906688752387
2051,ridge,MONTH_8,-0.10095303050110747
2051,ridge,MONTH_9,-0.09188369618920164
2051,ridge,MONTH_10,-0.09496024325567337
2051,ridge,MONTH_11,-0.08633379426400294
2051,ridge,MONTH_12,-0.022715817569370234
2051,ridge,DAYOFWEEK_1,-0.01181775229491875
2051,ridge,DAYOFWEEK_2,-0.007024116137306143
2051,ridge,DAYOFWEEK_3,-0.021184518553063112
2051,ridge,DAYOFWEEK_4,0.008647716259364741
2051,ridge,DAYOFWEEK_5,-0.3242069621769724
2051,ridge,DAYOFWEEK_6,-0.3198795307775214
2052,ols,IS_SCHOOLBREAK,0.011960097759475714
2052,ols,log_p,-0.15134758673046853
2052,ols,IS_MONTH_END,0.008666436217391948
2052,ols,HOLIDAY_Labor Day,-0.11037580169094546
2052,ols,HOLIDAY_Luner New Year,-0.293496716850152
2052,ols,HOLIDAY_Mid-Autumn Day,-0.19905514791099727
2052,ols,HOLIDAY_National Day,-0.24463738540861682
2052,ols,HOLIDAY_New Year,-0.3175594910202484
2052,ols,HOLIDAY_OtherHoliday,-1.4432899320127035e-15
2052,ols,HOLIDAY_Qing Ming Festival,-0.22172361755011458
2052,ols,MONTH_2,-0.11490809646559226
2052,ols,MONTH_3,-0.14487553426039873
2052,ols,MONTH_4,-0.1613173028060831
2052,ols,MONTH_5,-0.1315978767014319
2052,ols,MONTH_6,-0.17655766490860514
2052,ols,MONTH_7,-0.1346187032577814
2052,ols,MONTH_8,-0.13227350907152058
2052,ols,MONTH_9,-0.16648639343486646
2052,ols,MONTH_10,-0.17416602867357328
2052,ols,MONTH_11,-0.146743980034647
2052,ols,MONTH_12,-0.09629436852574391
2052,ols,DAYOFWEEK_1,-0.016733235900897182
2052,ols,DAYOFWEEK_2,-0.006485412895665676
2052,ols,DAYOFWEEK_3,-0.017774115056692553
2052,ols,DAYOFWEEK_4,0.024162297076387357
2052,ols,DAYOFWEEK_5,-0.2681173678276846
2052,ols,DAYOFWEEK_6,-0.2938760572098694
2052,ridge,IS_SCHOOLBREAK,0.013040271607313232
2052,ridge,log_p,-0.1499469316996058
2052,ridge,IS_MONTH_END,0.007982509601528588
2052,ridge,HOLIDAY_Labor Day,-0.0976857259620734
2052,ridge,HOLIDAY_Luner New Year,-0.2724026057495903
2052,ridge,HOLIDAY_Mid-Autumn Day,-0.17379914051623602
2052,ridge,HOLIDAY_National Day,-0.23256012691024192
2052,ridge,HOLIDAY_New Year,-0.2664821246148289
2052,ridge,HOLIDAY_OtherHoliday,0.0
2052,ridge,HOLIDAY_Qing Ming Festival,-0.19870459723111839
2052,ridge,MONTH_2,-0.09639986567175686
2052,ridge,MONTH_3,-0.12249567490171258
2052,ridge,MONTH_4,-0.14141181978811085
2052,ridge,MONTH_5,-0.10914410558636845
2052,ridge,MONTH_6,-0.15316340669682138
2052,ridge,MONTH_7,-0.11222376800719837
2052,ridge,MONTH_8,-0.1100313140850582
2052,ridge,MONTH_9,-0.14495233220302728
2052,ridge,MONTH_10,-0.15331718632814528
2052,ridge,MONTH_11,-0.12356496476635412
2052,ridge,MONTH_12,-0.07344766268012969
2052,ridge,DAYOFWEEK_1,-0.01343038964880905
2052,ridge,DAYOFWEEK_2,-0.0032653058218478867
2052,ridge,DAYOFWEEK_3,-0.01417101201743882
2052,ridge,DAYOFWEEK_4,0.027700930741044724
2052,ridge,DAYOFWEEK_5,-0.2625191275953247
2052,ridge,DAYOFWEEK_6,-0.2882591139068434
2053,ols,IS_SCHOOLBREAK,0.024300273258533362
2053,ols,log_p,-0.16814187611149561
2053,ols,IS_MONTH_END,0.0032691415485758043
2053,ols,HOLIDAY_Labor Day,-0.34801371152497984
2053,ols,HOLIDAY_Luner New Year,-0.30226611182928376
2053,ols,HOLIDAY_Mid-Autumn Day,-0.3704997600789373
2053,ols,HOLIDAY_National Day,-0.33997564045001205
2053,ols,HOLIDAY_New Year,-0.33189197566236617
2053,ols,HOLIDAY_OtherHoliday,-3.885780586188048e-16
2053,ols,HOLIDAY_Qing Ming Festival,-0.36089281596484957
2053,ols,MONTH_2,-0.0963572051700095
2053,ols,MONTH_3,-0.1695903870435267
2053,ols,MONTH_4,-0.14311824346853036
2053,ols,MONTH_5,-0.14396831543865127
2053,ols,MONTH_6,-0.18572983679666236
2053,ols,MONTH_7,-0.17296043877071532
2053,ols,MONTH_8,-0.1520008727715103
2053,ols,MONTH_9,-0.13624088707315765
2053,ols,MONTH_10,-0.13157586151068568
2053,ols,MONTH_11,-0.1348552737472745
2053,ols,MONTH_12,-0.047746422072762966
2053,ols,DAYOFWEEK_1,-0.00765040827232733
2053,ols,DAYOFWEEK_2,-0.002308066606125175
2053,ols,DAYOFWEEK_3,0.003790262883373956
2053,ols,DAYOFWEEK_4,-0.0007400584112999013
2053,ols,DAYOFWEEK_5,-0.3472982121610948
2053,ols,DAYOFWEEK_6,-0.3510948844002771
2053,ridge,IS_SCHOOLBREAK,0.02340088895599753
2053,ridge,log_p,-0.16560846610029667
2053,ridge,IS_MONTH_END,0.0003307061037775697
2053,ridge,HOLIDAY_Labor Day,-0.3079496156199713
2053,ridge,HOLIDAY_Luner New Year,-0.2800238869459069
2053,ridge,HOLIDAY_Mid-Autumn Day,-0.32185516519802077
2053,ridge,HOLIDAY_National Day,-0.3219656616905982
2053,ridge,HOLIDAY_New Year,-0.2802213041251438
2053,ridge,HOLIDAY_OtherHoliday,0.0
2053,ridge,HOLIDAY_Qing Ming Festival,-0.3212402719627324
2053,ridge,MONTH_2,-0.0787291583860889
2053,ridge,MONTH_3,-0.14803540928500739
2053,ridge,MONTH_4,-0.1273467941377364
2053,ridge,MONTH_5,-0.12187846464382913
2053,ridge,MONTH_6,-0.1614149776899188
2053,ridge,MONTH_7,-0.14814788158109488
2053,ridge,MONTH_8,-0.12770056144316375
2053,ridge,MONTH_9,-0.11691019423698716
2053,ridge,MONTH_10,-0.1125510152319188
2053,ridge,MONTH_11,-0.11191108409485073
2053,ridge,MONTH_12,-0.02581393623618015
2053,ridge,DAYOFWEEK_1,-0.0038780204990106217
2053,ridge,DAYOFWEEK_2,0.0013380874737313345
2053,ridge,DAYOFWEEK_3,0.008188377497043214
2053,ridge,DAYOFWEEK_4,0.0040448696340990575
2053,ridge,DAYOFWEEK_5,-0.3400591404847456
2053,ridge,DAYOFWEEK_6,-0.34395857035426813
